document,summary
"b""one of south africa 's most respected anti-corruption campaigners and political analysts said tuesday that u.s. authorities deported him under armed escort at the weekend after he arrived for a series of meetings with organizations like the world bank .""",b'senior political analyst deported from united states after visa revoked'
b'the drunken-driving charge against baltimore ravens quarterback steve mcnair was dropped tuesday because a related dui charge against his brother-in-law was reduced to reckless driving .',b'dui charge against mcnair dropped'
"b""chaos deepened in president nicolas sarkozy 's political stronghold tuesday as his ruling party said it had given up fielding a candidate for mayor -- and quashed suggestions the president 's son could run .""",b'election chaos grips sarkozy stronghold'
"b'mike tyson sat UNK on his stool , his head still ringing from the punches evander holyfield landed .'",b'tyson UNK about defeat with UNK'
"b""five weeks after testimony began in the trial of timothy j. mcveigh , his lawyers wednesday unleashed their final salvo against the prosecution 's most powerful witness , and then rested their case .""","b""mcveigh 's lawyers rest his defense in bombing trial"""
"b""president rafael correa 's radical transformation of historically unstable ecuador , including a new constitution that would grant him greater powers , is expected to propel the leftist economist to easy re-election on sunday .""",b'ecuador s correa expected to glide to re-election'
"b""philippine share prices closed #.## percent lower on friday in listless trade as investors waited for president gloria arroyo 's annual policy speech to congress next week , dealers said .""",b'philippine shares close #.## percent lower on listless trading'
"b'four soldiers from the u.s.-trained afghan national army were killed by an accidental explosion during a training exercise , the american military said , in the deadliest incident yet involving the fledging force .'",b'four soldiers of new afghan army killed americans and afghans injured in training explosion'
"b""seven separatist rebels and a village chief have been killed in the latest violence in indonesia 's aceh province , the military said thursday .""",b'eight people killed in latest aceh violence'
"b""president barack obama is retaining a powerful but controversial u.s. weapon left over from the bush administration 's battle against terrorism : predator missile strikes on pakistan .""",b'gates says missile strikes in pakistan to continue'
"b""a century ago , black heavyweight boxing champion jack johnson reached the pinnacle of his career when he defeated `` great white hope '' jim jeffries in reno in what was billed as the `` fight of the century .""",b'fans seek pardon for #st black boxing champ'
"b""plummeting revenue at sam 's town in kansas city has again prompted boyd gaming corp. executives to advise investors that the struggling riverboat casino might be sold .""","b""sam 's town officials says selling casino is a possibility"""
"b""rep. bobby rush , a former black panther leader , held off two state senators who challenged him in the democratic primary tuesday for his congressional seat on chicago 's south side .""",b'former panther wins house seat'
"b'militants ambushed an army patrol party monday in rajouri district in the india-controlled kashmir , critically wounding three soldiers , official sources said .'",b'militants ambush army patrol in india-controlled kashmir'
"b""a nutrition advocacy group on thursday sued the coca-cola co. , the biggest beverage maker in the world , over what it calls `` deceptive '' health claims about vitaminwater .""",b'advocacy group sues coca-cola over vitaminwater'
b'a new zealand lawyer specialising in civil liberties issues flew to tonga tuesday to launch a new bid to free two journalists serving ##-day prison sentences .',b'new zealand lawyer in bid to free jailed tongan journalists'
